"id","name","eco_category_code","country_id:id"
"Baby_3561346011","Baby",3561346011,"base.ca"
"Beauty_6205124011","Beauty",6205124011,"base.ca"
"Books_927726","Books",927726,"base.ca"
"Classical_962454","Classical",962454,"base.ca"
"DVD_14113311","DVD",14113311,"base.ca"
"Electronics_677211011","Electronics",677211011,"base.ca"
"ForeignBooks_927726","ForeignBooks",927726,"base.ca"
"HealthPersonalCare_6205177011","HealthPersonalCare",6205177011,"base.ca"
"KindleStore_2972705011","KindleStore",2972705011,"base.ca"
"Kitchen_2206275011","Kitchen",2206275011,"base.ca"
"LawnGarden_6205499011","LawnGarden",6205499011,"base.ca"
"Music_962454","Music",962454,"base.ca"
"PetSupplies_6205514011","PetSupplies",6205514011,"base.ca"
"Software_3234171","Software",3234171,"base.ca"
"SoftwareVideoGames_3323751","SoftwareVideoGames",3323751,"base.ca"
"Toys_6205517011","Toys",6205517011,"base.ca"
"VHS_962072","VHS",962072,"base.ca"
"Video_962454","Video",962454,"base.ca"
"VideoGames_110218011","VideoGames",110218011,"base.ca"
"Apparel_2016156051","Apparel",2016156051,"base.cn"
"Appliances_80207071","Appliances",80207071,"base.cn"
"Automotive_1947899051","Automotive",1947899051,"base.cn"
"Beauty_746776051","Beauty",746776051,"base.cn"
"Books_658390051","Books",658390051,"base.cn"
"Electronics_2016116051","Electronics",2016116051,"base.cn"
"Grocery_2127215051","Grocery",2127215051,"base.cn"
"HealthPersonalCare_852803051","HealthPersonalCare",852803051,"base.cn"
"Home_2016126051","Home",2016126051,"base.cn"
"HomeImprovement_1952920051","HomeImprovement",1952920051,"base.cn"
"Jewelry_816482051","Jewelry",816482051,"base.cn"
"KindleStore_116087071","KindleStore",116087071,"base.cn"
"Miscellaneous_899280051","Miscellaneous",899280051,"base.cn"
"Music_754386051","Music",754386051,"base.cn"
"MusicalInstruments_2127218051","MusicalInstruments",2127218051,"base.cn"
"OfficeProducts_2127221051","OfficeProducts",2127221051,"base.cn"
"PetSupplies_118863071","PetSupplies",118863071,"base.cn"
"Photo_755653051","Photo",755653051,"base.cn"
"Shoes_2029189051","Shoes",2029189051,"base.cn"
"Software_863872051","Software",863872051,"base.cn"
"SportingGoods_836312051","SportingGoods",836312051,"base.cn"
"Toys_647070051","Toys",647070051,"base.cn"
"Video_2016136051","Video",2016136051,"base.cn"
"VideoGames_897415051","VideoGames",897415051,"base.cn"
"Watches_1953164051","Watches",1953164051,"base.cn"
"Apparel_78689031","Apparel",78689031,"base.de"
"Automotive_78191031","Automotive",78191031,"base.de"
"Baby_357577011","Baby",357577011,"base.de"
"Beauty_64257031","Beauty",64257031,"base.de"
"Books_541686","Books",541686,"base.de"
"Classical_542676","Classical",542676,"base.de"
"DVD_547664","DVD",547664,"base.de"
"Electronics_569604","Electronics",569604,"base.de"
"ForeignBooks_54071011","ForeignBooks",54071011,"base.de"
"Grocery_340846031","Grocery",340846031,"base.de"
"HealthPersonalCare_64257031","HealthPersonalCare",64257031,"base.de"
"HomeGarden_10925241","HomeGarden",10925241,"base.de"
"Jewelry_327473011","Jewelry",327473011,"base.de"
"KindleStore_530484031","KindleStore",530484031,"base.de"
"Kitchen_3169011","Kitchen",3169011,"base.de"
"Lighting_213083031","Lighting",213083031,"base.de"
"Luggage & Bags_2454118031","Luggage & Bags",2454118031,"base.de"
"Magazines_1161658","Magazines",1161658,"base.de"
"MobileApps_1661648031","MobileApps",1661648031,"base.de"
"MP3Downloads_77195031","MP3Downloads",77195031,"base.de"
"Music_542676","Music",542676,"base.de"
"MusicalInstruments_340849031","MusicalInstruments",340849031,"base.de"
"OfficeProducts_192416031","OfficeProducts",192416031,"base.de"
"OutdoorLiving_10925051","OutdoorLiving",10925051,"base.de"
"PCHardware_569604","PCHardware",569604,"base.de"
